f_matchNumber,f_teamNumber,f_numAutoZone,f_numStageBin,f_numStepBin,f_robotAuton,f_toteAuton,f_numOnStep,f_numOnTop,f_1_litter,f_1_can,f_1_ntotes,f_2_litter,f_2_can,f_2_ntotes,f_3_litter,f_3_can,f_3_ntotes,f_4_litter,f_4_can,f_4_ntotes,f_5_litter,f_5_can,f_5_ntotes,f_fouls,f_stacks,f_dead,f_tipped,f_tippedOtherRobot,f_morePlayerStation,timestamp,f_notes,f_scoutName
Match #,Team #,# Yellow Totes,# Bins Staging Area,# Bins Step,Robot Auto Zone,Stacked Tote Set Auto Zone,# Totes Step,On # Totes,Litter,Bin,# Totes,Litter,Bin,# Totes,Litter,Bin,# Totes,Litter,Bin,# Totes,Litter,Bin,# Totes,# Fouls,# Stacks Tipped,Dead/ Disabled,Robot Tipped,Tipped Other Robot,Feeding Preference,Timestamp,Notes,Scout Name
1,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248978.000000,"",""
2,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248981.000000,"",""
3,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248982.000000,"",""
4,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248983.000000,"",""
5,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248984.000000,"",""
6,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248984.000000,"",""
7,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248985.000000,"",""
8,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248986.000000,"",""
9,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248987.000000,"",""
10,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248988.000000,"",""
11,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248989.000000,"",""
12,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248990.000000,"",""
13,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248991.000000,"",""
14,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248992.000000,"",""
15,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248994.000000,"",""
16,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248995.000000,"",""
17,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248996.000000,"",""
18,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248997.000000,"",""
19,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524248999.000000,"",""
20,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249000.000000,"",""
21,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249001.000000,"",""
22,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249003.000000,"",""
23,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249004.000000,"",""
24,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249006.000000,"",""
25,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249007.000000,"",""
26,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249008.000000,"",""
27,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249010.000000,"",""
28,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249012.000000,"",""
29,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249013.000000,"",""
30,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249015.000000,"",""
31,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249016.000000,"",""
32,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249018.000000,"",""
33,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249020.000000,"",""
34,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249022.000000,"",""
35,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249024.000000,"",""
36,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249025.000000,"",""
37,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249027.000000,"",""
38,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249029.000000,"",""
39,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249032.000000,"",""
40,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249034.000000,"",""
41,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249036.000000,"",""
42,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249038.000000,"",""
43,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249040.000000,"",""
44,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249042.000000,"",""
45,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249045.000000,"",""
46,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249047.000000,"",""
47,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249049.000000,"",""
48,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249051.000000,"",""
49,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249054.000000,"",""
50,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249056.000000,"",""
51,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249059.000000,"",""
52,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249061.000000,"",""
53,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249064.000000,"",""
54,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249066.000000,"",""
55,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249069.000000,"",""
56,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249071.000000,"",""
57,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249074.000000,"",""
58,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249078.000000,"",""
59,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249081.000000,"",""
60,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249085.000000,"",""
61,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249088.000000,"",""
62,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249093.000000,"",""
63,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249098.000000,"",""
64,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249100.000000,"",""
65,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249103.000000,"",""
66,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249106.000000,"",""
67,3512,0,0,0,false,false,0,0,false,false,0,false,false,0,false,false,0,false,false,0,false,false,0,0,0,false,false,false,true,1426524249109.000000,"",""
